date,rain_prev_24h_mm,rain_prev_72h_mm,rain_prev_7d_mm,rainfall_source,rainfall_dataset,rainfall_method,rainfall_window,region
2024-05-23,0.0,24.28658386802176,39.5456662336331,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-24,0.44711752475313277,0.44711752475313277,39.98109232013025,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-25,13.439509581578017,13.886627106331153,52.45055427965491,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-26,53.481716949596795,67.36834405592795,105.32969259587429,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-27,59.10306115683323,126.02428768800802,150.75798908078295,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-28,141.63405384046465,254.2188319468946,268.10545905322573,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-29,80.00840792329684,280.7455229205947,348.1138669765225,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-30,3.1215056246107995,224.7639673883723,351.23537260113335,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-31,13.496641041630008,96.62655458953765,364.28489611801024,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-01,0.16651381646002922,16.78466048270084,351.01190035289216,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-02,1.9579892479015053,15.621144105991544,299.488172651197,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-03,0.0,2.1245030643615346,240.38511149436374,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-04,2.3793561843104216,4.337345432211927,101.13041383820959,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-05,0.0,2.3793561843104216,21.122005914912766,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-06,0.0,2.3793561843104216,18.000500290301964,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-07,11.512787157234204,11.512787157234204,16.01664640590616,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-08,31.52396269473588,43.03674985197008,47.374095284182005,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-09,12.159206405915825,55.19595625788591,57.57531244219635,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-10,0.390748605188087,44.07391770583979,57.96606104738442,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-11,0.0,12.549955011103913,55.586704863074,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-12,3.309371657925969,3.7001202631140546,58.896076520999955,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-13,22.51817490028351,25.827546558209477,81.4142514212835,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-14,20.510234353376582,46.337780911586066,90.41169861742584,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-15,6.484714806254764,49.51312405991486,65.37245072894474,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-16,6.442755679706316,33.43770483933765,59.65600000273522,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-17,0.5912522053793757,13.518722691340455,59.85650360292651,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-18,28.637301072429665,35.67130895751536,88.49380467535619,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-19,47.60152748769061,76.83008076549964,132.78596050512087,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-20,1.1673166692428558,77.40614522936315,111.43510227408015,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-21,0.0,48.76884415693347,90.92486792070358,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-22,41.382812838630876,42.55012950787373,125.82296595307969,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-23,9.549597595651077,50.932410434281955,128.92980786902444,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-24,18.92813300471827,69.86054343900024,147.26668866836334,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-25,19.88366506729011,48.361395667659444,138.5130526632238,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-26,15.09603430702087,53.907832379029244,106.00755948255407,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-27,30.607837055420227,65.58753642973122,135.44807986873147,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-28,54.08033421808156,99.78420558052265,189.528414086813,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-29,9.543720237619997,94.2318915111218,157.68932148580214,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-06-30,3.327745001649197,66.95179945735077,151.46746889180028,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-01,4.223726343824167,17.095191583093357,136.76306223090612,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-02,110.0949092896897,117.64638063516306,226.9743064533057,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-03,4.100282066420536,118.4189176999344,215.97855421270543,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-04,0.0,114.19519135611023,185.37071715728516,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-05,0.8162517814369469,4.916533847857482,132.10663472064056,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-06,0.0,0.8162517814369469,122.56291448302055,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-07,0.9906445146898306,1.8068962961267774,120.22581399606118,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-08,36.589864532803375,37.5805090474932,152.5919521850404,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-09,11.843906321042393,49.42441536853559,54.34094921639307,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-10,1.967970911557171,50.40174176540293,52.20863806152971,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-11,0.0,13.811877232599567,52.20863806152971,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-12,0.6050232050890593,2.5729941166462305,51.99740948518183,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-13,0.0,0.6050232050890593,51.99740948518183,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-14,19.63999061560935,20.245013820698407,70.64675558610135,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-15,9.29208541552618,28.932076031135527,43.348976468824155,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-16,19.355529616494643,48.28760564763017,50.860599764276415,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-17,0.527281852156214,29.174896884177034,49.41991070487545,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-18,18.348101201130014,38.230912669780864,67.76801190600546,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-19,3.831275062503498,22.706658115789722,70.9942637634199,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-20,11.518162305205017,33.69753856883853,82.5124260686249,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-21,16.1678079028295,31.517245270538016,79.04024335584505,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-22,23.41413496211774,51.10010517015226,93.16229290243663,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-23,0.0,39.58194286494724,73.80676328594198,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-24,0.0,23.41413496211774,73.27948143378576,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-25,18.00117077813723,18.00117077813723,72.932551010793,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-26,0.09801307758251271,18.099183855719744,69.19928902587202,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-27,0.15270473632435894,18.251888592044104,57.833831456991355,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-28,0.0,0.2507178139068716,41.66602355416183,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-29,0.2109402743252841,0.363645010649643,18.46282886636939,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-30,29.319712888931317,29.530653163256602,47.782541755300706,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-07-31,13.95570038165573,43.48635354491234,61.73824213695642,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-01,23.262220625130055,66.5376338957171,66.99929198394923,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-02,22.659155275372832,59.877076282158605,89.56043418173957,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-03,71.55931742432905,117.48069332483192,160.96704686974428,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-04,0.10061151639728345,94.31908421609917,161.06765838614157,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-05,2.9171772849751028,74.57710622570143,163.77389539679135,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-06,30.035747022222107,33.05353582359449,164.48992953008212,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-07,42.51142187880894,75.46434618600613,193.04565102723535,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-08,21.4292872268183,93.97645612784933,191.2127176289236,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-09,2.1289034330189414,66.0696125386462,170.6824657865697,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-10,0.0,23.558190659837244,99.12314836224066,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-11,1.877457278447927,4.0063607114668685,100.8999941242913,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-12,2.939225766349195,4.816683044797123,100.92204260566541,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-13,0.5218862421372358,5.338569286934358,71.40818182558054,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-14,0.40369179039257763,3.8648037988790085,29.30045173716418,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-15,10.756234280981028,11.681812313510841,18.627398791326904,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-16,44.85270582084285,56.01263189221645,61.351201179150806,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-17,35.58856422061311,91.19750432243698,96.93976539976391,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-18,12.307940223104879,92.74921026456084,107.37024834442084,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-19,5.989914626845048,53.88641907056303,110.42093720491674,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-20,45.42321232307043,63.72106717302036,155.32226328584989,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-21,70.27765844730328,121.69078539721876,225.19622994276062,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-22,43.96094375928373,159.66181452965748,258.40093942106336,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-23,14.54038261027554,128.7789848168626,228.08861621049607,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-24,34.95140392403371,93.45273029359299,227.45145591391662,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-25,53.94837707912875,103.440163613438,269.0918927699406,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-26,11.389655699129051,100.2894367022915,274.49163384222453,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-27,3.7380916097895462,69.07612438804736,232.8065131289437,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-28,12.226941520903278,27.354688829821878,174.75579620254356,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-29,14.32408048529594,30.28911361598878,145.11893292855578,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-30,13.139702385481732,39.690724391680966,143.718252703762,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-08-31,8.757025260812835,36.220808131590516,117.52387404054116,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-01,14.240690429341754,36.13741807563632,77.81618739075414,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-02,6.3255824508677465,29.32329814102233,72.75211414249284,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-03,19.191445627700283,39.75771850790978,88.20546816040357,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-04,13.096973323900485,38.61400140246851,89.07549996340074,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-05,1.31109090699395,33.59950985859471,76.06251038509878,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-06,14.7915246875888,29.199588918483215,77.71433268720584,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-07,29.102241652423462,45.20485724700621,98.05954907881647,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-08,14.739272889956258,58.63303922996851,98.55813153943096,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-09,2.5334236556800747,46.37493819805978,94.7659727442433,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-10,10.625257852076503,27.89795439771283,86.19978496861954,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-11,3.690085100293992,16.84876660805057,76.79289674501302,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-12,17.664329125239465,31.979672077609965,93.14613496325855,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-13,9.503369943604913,30.857784169138373,87.85798021927465,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-14,10.135139002186046,37.30283807103042,68.89087756903724,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-15,9.09775956391994,28.736268509710886,63.24936424300094,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-16,4.679114602240746,23.912013168346732,65.39505518956159,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-17,0.0,13.776874166160685,54.76979733748509,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-18,4.635365017009962,9.314479619250712,55.71507725420107,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-19,0.0,4.635365017009962,38.05074812896161,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-20,0.0,4.635365017009962,28.547378185356692,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-21,0.4275367893212194,0.4275367893212194,18.839775972491868,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-22,11.582185352065997,12.009722141387218,21.324201760637926,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-23,0.0,12.009722141387218,16.64508715839718,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-24,8.081409800221003,19.663595152287005,24.726496958618185,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-09-25,25.129392234141093,33.2108020343621,45.22052417574932,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
